CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,SECTOR,AREA,MODALIDAD,JORNADA,PLAN,DEPARTAMENTO_FINAL
04-07-0049-46,04-014,CHIMALTENANGO,PATZUN,LICEO TECNOLÓGICO BILINGÜE GUATEMALAN,2A. CALLE 2-35 ZONA 2,78399519,VALERIA GÓMEZ BOC DE GIRÓN,ROLANDO COY YAQUI,PRIVADO,URBANA,MONOLINGUE,DOBLE,FIN DE SEMANA,CHIMALTENANGO
04-07-0057-46,04-036,CHIMALTENANGO,PATZUN,COLEGIO SAN BERNARDINO,4A. AVENIDA 4-40 ZONA 2,78398044,LILIA MAYRLENY COYOTE MICULAX,MARTA GENOVEVA ACEVEDO VASQUEZ,PRIVADO,URBANA,MONOLINGUE,DOBLE,REGULAR,CHIMALTENANGO
04-07-3242-46,04-013,CHIMALTENANGO,PATZUN,CENTRO EDUCATIVO 20 DE MAYO,1A. CALLE 1-90 A ZONA 6,78398434,JUSTA XINICO SIPAC DE TZUL,EFRAÍN SALAZAR GÓMEZ,PRIVADO,URBANA,MONOLINGUE,VESPERTINA,REGULAR,CHIMALTENANGO
04-08-0005-46,04-019,CHIMALTENANGO,SAN MIGUEL POCHUTA,INSTITUTO MUNICIPAL DE DIVERSIFICADO POCHUTA CENTENARIO,SAN MIGUEL POCHUTA,30244440,ROSA MARISOL JUÁREZ GRAMAJO,JUAN LUIS OLCOT CUJCUJ,MUNICIPAL,RURAL,MONOLINGUE,VESPERTINA,REGULAR,CHIMALTENANGO
04-08-0006-46,04-019,CHIMALTENANGO,SAN MIGUEL POCHUTA,INSTITUTO MUNICIPAL DE DIVERSIFICADO POCHUTA CENTENARIO,SAN MIGUEL POCHUTA,30244440,ROSA MARISOL JUÁREZ GRAMAJO,JUAN LUIS OLCOT CUJCUJ,MUNICIPAL,URBANA,MONOLINGUE,INTERMEDIA,REGULAR,CHIMALTENANGO
04-08-0008-46,04-019,CHIMALTENANGO,SAN MIGUEL POCHUTA,INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA SAN MIGUEL,1A. AVENIDA 6-57 ZONA 1,47645145,ROSA MARISOL JUÁREZ GRAMAJO,VILMA MARILY CHENOL GONZÁLEZ,OFICIAL,URBANA,MONOLINGUE,VESPERTINA,REGULAR,CHIMALTENANGO
04-08-0019-46,04-019,CHIMALTENANGO,SAN MIGUEL POCHUTA,LICEO PRIVADO POCHUTECO CAMINO AL FUTURO,"4A. CALLE ENTRE 3A. Y 4A. AVENIDA, ZONA 1",47096886,ROSA MARISOL JUÁREZ GRAMAJO,NOÉ CHENOL VENTURA,PRIVADO,URBANA,MONOLINGUE,SIN JORNADA,SEMIPRESENCIAL,CHIMALTENANGO
04-08-2755-46,04-019,CHIMALTENANGO,SAN MIGUEL POCHUTA,LICEO PRIVADO POCHUTECO CAMINO AL FUTURO,MUNICIPIO DE SAN MIGUEL POCHUTA,41249421,ROSA MARISOL JUÁREZ GRAMAJO,NOÉ CHENOL VENTURA,PRIVADO,URBANA,MONOLINGUE,VESPERTINA,REGULAR,CHIMALTENANGO
04-08-3079-46,04-019,CHIMALTENANGO,SAN MIGUEL POCHUTA,LICEO PRIVADO POCHUTECO CAMINO AL FUTURO,SAN MIGUEL POCHUTA,41249421,ROSA MARISOL JUÁREZ GRAMAJO,ALAN ESTUARDO RAMOS NOJ,PRIVADO,URBANA,MONOLINGUE,DOBLE,FIN DE SEMANA,CHIMALTENANGO
04-09-0007-46,04-009,CHIMALTENANGO,PATZICIA,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA PROFESORA AURA IRMA MENESES DE RAMIREZ,EL BOSQUE,59617163,LIDIA SANTIZO MORALES,CARLOS ENRIQUE LOCH MICULAX,OFICIAL,URBANA,MONOLINGUE,VESPERTINA,REGULAR,CHIMALTENANGO
04-09-0023-46,04-009,CHIMALTENANGO,PATZICIA,COLEGIO INTEGRAL MESOAMERICANO,KM. 69.5 CARRETERA INTERAMERICANA,78448986,LIDIA SANTIZO MORALES,RAFAEL GALINDO YLLESCAS,PRIVADO,URBANA,MONOLINGUE,MATUTINA,REGULAR,CHIMALTENANGO
04-09-0024-46,04-009,CHIMALTENANGO,PATZICIA,COLEGIO INTEGRAL MESOAMERICANO,KM. 69.5 CARRETERA INTERAMERICANA,78448986,LIDIA SANTIZO MORALES,RAFAEL GALINDO YLLESCAS,PRIVADO,URBANA,MONOLINGUE,DOBLE,REGULAR,CHIMALTENANGO
04-09-2937-46,04-009,CHIMALTENANGO,PATZICIA,INSTITUTO TÉCNICO EXPERIMENTAL AGROINDUSTRIAL ALAN JUYU,1A. CALLE 3-67 ZONA 2,78305239,LIDIA SANTIZO MORALES,JAIRO ALBERTO ESTRADA HERNANDEZ,PRIVADO,URBANA,MONOLINGUE,DOBLE,REGULAR,CHIMALTENANGO
04-10-0006-46,04-026,CHIMALTENANGO,SANTA CRUZ BALANYA,INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA CARLOS EMILIO LEONARDO,CANTON EL PROGRESO,59739862,OBED NATANAHEL CASIA CHONAY,GLENDA XIOMARA TAGUAL MACHÁN,OFICIAL,URBANA,MONOLINGUE,VESPERTINA,REGULAR,CHIMALTENANGO
04-11-0002-46,04-016,CHIMALTENANGO,ACATENANGO,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA ACATENANGO,COLONIA POTRERITOS,59464736,DORIS MARLENI DUARTE MARTÍNEZ,JEYBY MARILÚ RIVERA FIGUEROA,OFICIAL,URBANA,MONOLINGUE,MATUTINA,REGULAR,CHIMALTENANGO
04-11-0009-46,04-016,CHIMALTENANGO,ACATENANGO,INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,COLONIA LA LADRILLERA,42569556,DORIS MARLENI DUARTE MARTÍNEZ,ELDER DANILO MONTÚFAR AJQUEJAY,OFICIAL,URBANA,MONOLINGUE,MATUTINA,REGULAR,CHIMALTENANGO
04-11-0012-46,04-016,CHIMALTENANGO,ACATENANGO,INSTITUTO DIVERSIFICADO POR COOPERATIVA ACATENANGO,COLONIA EL POTRERITO,78823560,DORIS MARLENI DUARTE MARTÍNEZ,RONY AMILCAR VÉLIZ PÉREZ,COOPERATIVA,URBANA,MONOLINGUE,VESPERTINA,REGULAR,CHIMALTENANGO
04-11-0014-46,04-016,CHIMALTENANGO,ACATENANGO,LICEO CRISTIANO VISION ETERNA,ALDEA SAN ANTONIO NEJAPA,54640678,DORIS MARLENI DUARTE MARTÍNEZ,MELKY JONATÁN XINIC CÓ,PRIVADO,RURAL,MONOLINGUE,SIN JORNADA,SEMIPRESENCIAL,CHIMALTENANGO
04-11-0015-46,04-016,CHIMALTENANGO,ACATENANGO,LICEO CRISTIANO VISIÓN ETERNA,ALDEA SAN ANTONIO NEJAPA,54640678,DORIS MARLENI DUARTE MARTÍNEZ,MELKY JONATÁN XINIC CÓ,PRIVADO,RURAL,MONOLINGUE,DOBLE,FIN DE SEMANA,CHIMALTENANGO
04-12-0031-46,04-017,CHIMALTENANGO,SAN PEDRO YEPOCAPA,INSTITUTO DE NIVEL MEDIO DE PROYECCION SOCIAL Y COMUNITARIA LA VOZ DE LA ESPERANZA,ALDEA MONTE DE LOS OLIVOS,22679158,YURI EMPERATRÍZ GABRIEL BAC DE TORRES,MARÍA DEL CARMEN MATZIR MICULAX,PRIVADO,RURAL,MONOLINGUE,VESPERTINA,REGULAR,CHIMALTENANGO
04-12-0032-46,04-017,CHIMALTENANGO,SAN PEDRO YEPOCAPA,INSTITUTO DE NIVEL MEDIO DE PROYECCION SOCIAL Y COMUNITARIA LA VOZ DE LA ESPERANZA,ALDEA MONTE DE LOS OLIVOS,44075812,YURI EMPERATRÍZ GABRIEL BAC DE TORRES,MARÍA DEL CARMEN MATZIR MICULAX,PRIVADO,URBANA,MONOLINGUE,MATUTINA,REGULAR,CHIMALTENANGO
04-12-0042-46,04-030,CHIMALTENANGO,SAN PEDRO YEPOCAPA,INSTITUTO PRIVADO MIXTO ORIZABA,PRIMER CANTÓN,58197435,OTTO VINICIO AJTÚN GARCIA,DOUGLAS ROMEO LOPEZ ORIZABA,PRIVADO,URBANA,MONOLINGUE,MATUTINA,REGULAR,CHIMALTENANGO
04-12-0043-46,04-030,CHIMALTENANGO,SAN PEDRO YEPOCAPA,INSTITUTO PRIVADO MIXTO ORIZABA,PRIMER CANTÓN,58197435,OTTO VINICIO AJTÚN GARCIA,DOUGLAS ROMEO LOPEZ ORIZABA,PRIVADO,URBANA,MONOLINGUE,DOBLE,FIN DE SEMANA,CHIMALTENANGO
04-12-0044-46,04-030,CHIMALTENANGO,SAN PEDRO YEPOCAPA,INSTITUTO PRIVADO MIXTO ORIZABA,PRIMER CANTÓN,58197435,OTTO VINICIO AJTÚN GARCIA,ANGIE CELESTE COROY ARRIOLA,PRIVADO,URBANA,MONOLINGUE,VESPERTINA,REGULAR,CHIMALTENANGO
04-12-0051-46,04-030,CHIMALTENANGO,SAN PEDRO YEPOCAPA,INSTITUTO PRIVADO MIXTO ORIZABA,PRIMER CANTÓN,58197435,OTTO VINICIO AJTÚN GARCIA,DOUGLAS ROMEO LOPEZ ORIZABA,PRIVADO,URBANA,MONOLINGUE,DOBLE,FIN DE SEMANA,CHIMALTENANGO
04-12-0055-46,04-030,CHIMALTENANGO,SAN PEDRO YEPOCAPA,INSTITUTO PRIVADO MIXTO ORIZABA,PRIMER CANTON,58197435,OTTO VINICIO AJTÚN GARCIA,DOUGLAS ROMEO LOPEZ ORIZABA,PRIVADO,URBANA,MONOLINGUE,DOBLE,REGULAR,CHIMALTENANGO
04-12-0057-46,04-017,CHIMALTENANGO,SAN PEDRO YEPOCAPA,COLEGIO PARROQUIAL SAN PEDRO,"4TO CANTON, COLONIA SANTA ISABEL",79302678,YURI EMPERATRÍZ GABRIEL BAC DE TORRES,HENRY ESTUARDO TEMAL TAX,PRIVADO,URBANA,MONOLINGUE,VESPERTINA,REGULAR,CHIMALTENANGO
04-12-0059-46,04-030,CHIMALTENANGO,SAN PEDRO YEPOCAPA,INSTITUTO PRIVADO MIXTO ORIZABA,PRIMER CANTÓN,58197435,OTTO VINICIO AJTÚN GARCIA,DOUGLAS ROMEO LOPEZ ORIZABA,PRIVADO,URBANA,MONOLINGUE,SIN JORNADA,SEMIPRESENCIAL,CHIMALTENANGO
04-12-0060-46,04-030,CHIMALTENANGO,SAN PEDRO YEPOCAPA,INSTITUTO PRIVADO MIXTO ORIZABA NO. 2,ALDEA LOS YUCALES,30324839,OTTO VINICIO AJTÚN GARCIA,LUIS MATIAS UMUL SAJAR,PRIVADO,RURAL,MONOLINGUE,SIN JORNADA,SEMIPRESENCIAL,CHIMALTENANGO
04-12-0061-46,04-030,CHIMALTENANGO,SAN PEDRO YEPOCAPA,INSTITUTO PRIVADO MIXTO ORIZABA NO. 2,ALDEA LOS YUCALES,30324839,OTTO VINICIO AJTÚN GARCIA,LUIS MATIAS UMUL SAJAR,PRIVADO,RURAL,MONOLINGUE,DOBLE,FIN DE SEMANA,CHIMALTENANGO
04-12-0064-46,04-030,CHIMALTENANGO,SAN PEDRO YEPOCAPA,LICEO CRISTIANO TORRE FUERTE,COLONIA SAN CARLOS,79302724,OTTO VINICIO AJTÚN GARCIA,EDGAR EDUARDO XIA MOX,PRIVADO,URBANA,MONOLINGUE,VESPERTINA,REGULAR,CHIMALTENANGO
04-12-0065-46,04-030,CHIMALTENANGO,SAN PEDRO YEPOCAPA,LICEO CRISTIANO TORRE FUERTE,COLONIA SAN CARLOS,79302724,OTTO VINICIO AJTÚN GARCIA,EDGAR EDUARDO XIA MOX,PRIVADO,URBANA,MONOLINGUE,DOBLE,FIN DE SEMANA,CHIMALTENANGO
04-13-0005-46,04-004,CHIMALTENANGO,SAN ANDRES ITZAPA,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA ITZAPA,CANTON SAN LORENZO,54943363,ANA LUISA AVILA GÓMEZ DE LEMUS,MIRLA JOHANNA MEZA LÓPEZ,OFICIAL,URBANA,MONOLINGUE,MATUTINA,REGULAR,CHIMALTENANGO
04-13-0016-46,04-004,CHIMALTENANGO,SAN ANDRES ITZAPA,LICEO CAMPO ALEGRE,CANTÓN SAN PEDRO Y SAN PABLO,51018627,ANA LUISA AVILA GÓMEZ DE LEMUS,ANTONIO DAVID ALVAREZ POPOL,PRIVADO,URBANA,MONOLINGUE,DOBLE,FIN DE SEMANA,CHIMALTENANGO
04-13-0022-46,04-004,CHIMALTENANGO,SAN ANDRES ITZAPA,COLEGIO PRIVADO MIXTO SAN ANDRES,CANTON SAN LORENZO,78495777,ANA LUISA AVILA GÓMEZ DE LEMUS,MARTIN SAL SIQUINAJAY,PRIVADO,URBANA,MONOLINGUE,VESPERTINA,REGULAR,CHIMALTENANGO
04-13-0029-46,04-004,CHIMALTENANGO,SAN ANDRES ITZAPA,LICEO CIENTÍFICO GUATEMALTECO EN ARTE Y TECNOLOGÍA,CANTÓN SAN LORENZO,78494928,ANA LUISA AVILA GÓMEZ DE LEMUS,BRENDA PATRICIA MACHÁN CÁN,PRIVADO,URBANA,MONOLINGUE,MATUTINA,REGULAR,CHIMALTENANGO
04-13-0033-46,04-004,CHIMALTENANGO,SAN ANDRES ITZAPA,LICEO CIENTÍFICO GUATEMALTECO EN ARTE Y TECNOLOGÍA,CANTON SAN LORENZO,78494928,ANA LUISA AVILA GÓMEZ DE LEMUS,DANNA ROSARIO ZAMBRANO GÁLVEZ,PRIVADO,URBANA,MONOLINGUE,DOBLE,FIN DE SEMANA,CHIMALTENANGO
04-13-0035-46,04-004,CHIMALTENANGO,SAN ANDRES ITZAPA,LICEO CIENTÍFICO GUATEMALTECO EN ARTE Y TECNOLOGÍA,CANTÓN SAN LORENZO,78494928,ANA LUISA AVILA GÓMEZ DE LEMUS,BRENDA PATRICIA MACHÁN CÁN,PRIVADO,URBANA,MONOLINGUE,SIN JORNADA,SEMIPRESENCIAL,CHIMALTENANGO
04-13-0037-46,04-004,CHIMALTENANGO,SAN ANDRES ITZAPA,LICEO CAMPO ALEGRE,CANTÓN SAN PEDRO Y SAN PABLO,52709821,ANA LUISA AVILA GÓMEZ DE LEMUS,ANTONIO DAVID ALVAREZ POPOL,PRIVADO,URBANA,MONOLINGUE,SIN JORNADA,SEMIPRESENCIAL,CHIMALTENANGO
04-13-0039-46,04-004,CHIMALTENANGO,SAN ANDRES ITZAPA,LICEO CIENTÍFICO GUATEMALTECO EN ARTE Y TECNOLOGÍA,CANTON SAN LORENZO,78494928,ANA LUISA AVILA GÓMEZ DE LEMUS,DANNA ROSARIO ZAMBRANO GÁLVEZ,PRIVADO,URBANA,MONOLINGUE,NOCTURNA,REGULAR,CHIMALTENANGO
04-13-0042-46,04-004,CHIMALTENANGO,SAN ANDRES ITZAPA,CENTRO EDUCATIVO SHAMMAH CHRISTIAN SCHOOL,KM 60 CARRETERA A SAN ANDRÉS ITZAPA,39528033,ANA LUISA AVILA GÓMEZ DE LEMUS,INDRA TAISINIA VÉLIZ MONTUFAR,PRIVADO,URBANA,MONOLINGUE,VESPERTINA,REGULAR,CHIMALTENANGO
04-13-0045-46,04-004,CHIMALTENANGO,SAN ANDRES ITZAPA,COLEGIO EVANGÉLICO AGUA VIVA,ALDEA HIERBA BUENA,49881590,ANA LUISA AVILA GÓMEZ DE LEMUS,RAQUEL HAYDEE GÓMEZ TZIRÍN,PRIVADO,RURAL,MONOLINGUE,MATUTINA,REGULAR,CHIMALTENANGO
04-13-0598-46,04-004,CHIMALTENANGO,SAN ANDRES ITZAPA,COLEGIO PRIVADO MIXTO SAN ANDRES,CANTON SAN LORENZO,78495777,ANA LUISA AVILA GÓMEZ DE LEMUS,MARTIN SAL SIQUINAJAY,PRIVADO,URBANA,MONOLINGUE,DOBLE,REGULAR,CHIMALTENANGO
04-13-3228-46,04-004,CHIMALTENANGO,SAN ANDRES ITZAPA,ESCUELA MUNICIPAL DE CIENCIAS COMERCIALES LIC. CARLOS HELMER LEMUS SILVA,MUNICIPIO DE SAN ANDRES ITZAPA,78495197,ANA LUISA AVILA GÓMEZ DE LEMUS,CARLOS HELMER LEMUS SILVA,MUNICIPAL,URBANA,MONOLINGUE,NOCTURNA,REGULAR,CHIMALTENANGO
04-13-3232-46,04-004,CHIMALTENANGO,SAN ANDRES ITZAPA,LICEO CAMPO ALEGRE,CANTON SAN PEDRO Y SAN PABLO,52709821,ANA LUISA AVILA GÓMEZ DE LEMUS,ANTONIO DAVID ALVAREZ POPOL,PRIVADO,URBANA,MONOLINGUE,DOBLE,FIN DE SEMANA,CHIMALTENANGO
04-14-0010-46,04-025,CHIMALTENANGO,PARRAMOS,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA KOTZIJAL QUINAQ (FLOR DE FRIJOL),CANTON LA UNION,53100486,SURAMA LISSETH RAMÍREZ LÓPEZ,LIGIA ISABEL YOC HERNÁNDEZ,OFICIAL,URBANA,MONOLINGUE,MATUTINA,REGULAR,CHIMALTENANGO
04-14-0020-46,04-025,CHIMALTENANGO,PARRAMOS,CENTRO EDUCATIVO TRILINGÜE NUEVO AMANECER,"ZONA 3, 0 AVENIDA, CANTÓN LA LIBERTAD",78499370,SURAMA LISSETH RAMÍREZ LÓPEZ,ROLANDO ESTUARDO ORTÍZ LÓPEZ,PRIVADO,URBANA,MONOLINGUE,VESPERTINA,REGULAR,CHIMALTENANGO
04-14-0022-46,04-025,CHIMALTENANGO,PARRAMOS,CENTRO EDUCATIVO TRILINGÜE NUEVO AMANECER,"ZONA 3, 0 AVENIDA, CANTÓN LA LIBERTAD",78499370,SURAMA LISSETH RAMÍREZ LÓPEZ,ROLANDO ESTUARDO ORTÍZ LÓPEZ,PRIVADO,URBANA,MONOLINGUE,DOBLE,FIN DE SEMANA,CHIMALTENANGO
04-14-0023-46,04-025,CHIMALTENANGO,PARRAMOS,COLEGIO BILINGÜE EN COMPUTACIÓN SAN BERNABÉ,"KILÓMETRO 63, CARRETERA A SAN PEDRO YEPOCAPA, ALDEA SAN BERNABÉ",30857742,SURAMA LISSETH RAMÍREZ LÓPEZ,RAÚL ARNULFO CUÁ TUMÍN,PRIVADO,URBANA,MONOLINGUE,VESPERTINA,REGULAR,CHIMALTENANGO
04-14-0026-46,04-025,CHIMALTENANGO,PARRAMOS,CENTRO EDUCATIVO EN COMPUTACION NUEVA ESPERANZA,"1A. AVENIDA 1-58 ZONA 1, CANTON LA UNION",36095750,SURAMA LISSETH RAMÍREZ LÓPEZ,WENCESLAO PUZ SAL,PRIVADO,URBANA,MONOLINGUE,DOBLE,FIN DE SEMANA,CHIMALTENANGO
04-14-0029-46,04-025,CHIMALTENANGO,PARRAMOS,COLEGIO CRISTIANO LOS BRAZOS DE JESÚS,CANTÓN LA UNIÓN,78499334,SURAMA LISSETH RAMÍREZ LÓPEZ,PEDRO FRANCISCO CHICOL ITZOL,PRIVADO,URBANA,MONOLINGUE,MATUTINA,REGULAR,CHIMALTENANGO
04-14-0032-46,04-025,CHIMALTENANGO,PARRAMOS,COLEGIO TECNOLÓGICO DE PARRAMOS,"5A. CALLE 2-88 ZONA 4, CANTÓN LA DEMOCRACIA",77915727,SURAMA LISSETH RAMÍREZ LÓPEZ,NORMA MARISOL SALGUERO ESCOBAR,PRIVADO,URBANA,MONOLINGUE,VESPERTINA,REGULAR,CHIMALTENANGO
04-14-0037-46,04-025,CHIMALTENANGO,PARRAMOS,CENTRO EDUCATIVO EN COMPUTACIÓN NUEVA ESPERANZA,"1A. CALLE 2-40 ZONA 1, CANTÓN LA UNIÓN",36095750,SURAMA LISSETH RAMÍREZ LÓPEZ,WENCESLAO PUZ SAL,PRIVADO,URBANA,MONOLINGUE,SIN JORNADA,SEMIPRESENCIAL,CHIMALTENANGO
04-14-0039-46,04-025,CHIMALTENANGO,PARRAMOS,CENTRO EDUCATIVO TRILINGÜE NUEVO AMANECER,"ZONA 3, 0 AVENIDA, CANTÓN LA LIBERTAD",78499370,SURAMA LISSETH RAMÍREZ LÓPEZ,ROLANDO ESTUARDO ORTÍZ LÓPEZ,PRIVADO,URBANA,MONOLINGUE,SIN JORNADA,FIN DE SEMANA,CHIMALTENANGO
04-15-0008-46,04-008,CHIMALTENANGO,ZARAGOZA,INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA PILAR DE VALORES Y CONOCIMIENTOS,2A. AVENIDA 1-13 ZONA 2,58789005,CORINA ARGELIA RODAS SERRANO,PEDRO DE JESÚS RUANO MARROQUIN,OFICIAL,URBANA,MONOLINGUE,VESPERTINA,REGULAR,CHIMALTENANGO
04-15-0014-46,04-008,CHIMALTENANGO,ZARAGOZA,LICEO BILINGUE LOS ANGELES,1A. AVENIDA 3-56 ZONA 2,56921944,CORINA ARGELIA RODAS SERRANO,DORCAS FRANCISCA LÓPEZ MELÉNDEZ,PRIVADO,URBANA,MONOLINGUE,MATUTINA,REGULAR,CHIMALTENANGO
04-15-0015-46,04-008,CHIMALTENANGO,ZARAGOZA,INSTITUTO TECNICO INDUSTRIAL ZARAGOZA DE HEREDIA,2A. CALLE 1-34 ZONA 1,78305941,CORINA ARGELIA RODAS SERRANO,TEODORA ELIZABETH FIGUEROA GUERRA,PRIVADO,URBANA,MONOLINGUE,DOBLE,REGULAR,CHIMALTENANGO
04-15-0021-46,04-008,CHIMALTENANGO,ZARAGOZA,INSTITUTO TÉCNICO INDUSTRIAL ZARAGOZA DE HEREDIA,2A. CALLE 1-34 ZONA 1,78305941,CORINA ARGELIA RODAS SERRANO,TEODORA ELIZABETH FIGUEROA GUERRA,PRIVADO,URBANA,MONOLINGUE,VESPERTINA,REGULAR,CHIMALTENANGO
04-15-0023-46,04-008,CHIMALTENANGO,ZARAGOZA,INSTITUTO TÉCNICO INDUSTRIAL ZARAGOZA DE HEREDIA,2A. CALLE 1-34 ZONA 1,78305941,CORINA ARGELIA RODAS SERRANO,TEODORA ELIZABETH FIGUEROA GUERRA,PRIVADO,URBANA,MONOLINGUE,DOBLE,FIN DE SEMANA,CHIMALTENANGO
04-15-0039-46,04-008,CHIMALTENANGO,ZARAGOZA,COLEGIO ACADEMIA INTERNACIONAL DE ALTOS SUEÑOS,ALDEA TULULCHE,49030549,CORINA ARGELIA RODAS SERRANO,DEBORA JULISSA BRIZUELA MINDIZ,PRIVADO,RURAL,MONOLINGUE,MATUTINA,REGULAR,CHIMALTENANGO
04-15-0043-46,04-008,CHIMALTENANGO,ZARAGOZA,LICEO CRISTIANO MONTE SIÓN,1A. AVENIDA 3-56 ZONA 2,42256175,CORINA ARGELIA RODAS SERRANO,JERSON DANILO MARROQUIN,PRIVADO,URBANA,MONOLINGUE,DOBLE,FIN DE SEMANA,CHIMALTENANGO
04-15-0044-46,04-008,CHIMALTENANGO,ZARAGOZA,LICEO BILINGÜE LOS ANGELES,1ERA. AVENIDA 3-56 ZONA 2,56921944,CORINA ARGELIA RODAS SERRANO,DORCAS FRANCISCA LÓPEZ MELÉNDEZ,PRIVADO,URBANA,MONOLINGUE,DOBLE,REGULAR,CHIMALTENANGO
04-15-0046-46,04-008,CHIMALTENANGO,ZARAGOZA,LICEO CRISTIANO MONTE SIÓN,1A. AVENIDA 3-56 ZONA 2,42256175,CORINA ARGELIA RODAS SERRANO,JERSON DANILO MARROQUIN,PRIVADO,URBANA,MONOLINGUE,SIN JORNADA,SEMIPRESENCIAL,CHIMALTENANGO
04-15-0059-46,04-008,CHIMALTENANGO,ZARAGOZA,CENTRO EDUCATIVO BILINGÜE SANTA MARÍA DE LA ESPERANZA,2DA. CALLE 2-71 ZONA 1,54380759,CORINA ARGELIA RODAS SERRANO,CINDY MILADY ARGUETA GUERRA,PRIVADO,URBANA,MONOLINGUE,VESPERTINA,REGULAR,CHIMALTENANGO
04-15-0061-46,04-008,CHIMALTENANGO,ZARAGOZA,CENTRO EDUCATIVO BILINGÜE SANTA MARÍA DE LA ESPERANZA,2DA. CALLE 2-71 ZONA 1,54380759,CORINA ARGELIA RODAS SERRANO,CINDY MILADY ARGUETA GUERRA,PRIVADO,URBANA,MONOLINGUE,SIN JORNADA,SEMIPRESENCIAL,CHIMALTENANGO
04-15-0063-46,04-008,CHIMALTENANGO,ZARAGOZA,LICEO CRISTIANO MONTE SIÓN,"1A. AVENIDA, 3-56 ZONA 2",42256175,CORINA ARGELIA RODAS SERRANO,JERSON DANILO MARROQUIN,PRIVADO,URBANA,MONOLINGUE,DOBLE,VIRTUAL,CHIMALTENANGO
04-15-0732-46,04-008,CHIMALTENANGO,ZARAGOZA,ESCUELA DE CIENCIAS COMERCIALES POR COOPERATIVA DE ENSEÑANZA LIC. CARLOS ABILIO GIRÓN NORIEGA,1A. AVENIDA 7-59 ZONA 1,78305785,CORINA ARGELIA RODAS SERRANO,HECTOR ENRIQUE OVALLE PORRAS,COOPERATIVA,URBANA,MONOLINGUE,VESPERTINA,REGULAR,CHIMALTENANGO
04-16-0005-46,04-024,CHIMALTENANGO,EL TEJAR,INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA SANTO DOMINGO,LOMAS DEL PERICÓN,58207372,LUIS FERNANDO MÉNDEZ GUDIEL,MILVIA ELIZABETH VENTURA SINAY,OFICIAL,URBANA,MONOLINGUE,MATUTINA,REGULAR,CHIMALTENANGO
04-16-0032-46,04-024,CHIMALTENANGO,EL TEJAR,CENTRO EDUCATIVO CRISTIANO NUEVA VISIÓN,3RA CALLE 5-49 ZONA 1,77251688,LUIS FERNANDO MÉNDEZ GUDIEL,MAYORI MABEL JUÁREZ CHAJÓN,PRIVADO,URBANA,MONOLINGUE,VESPERTINA,REGULAR,CHIMALTENANGO
04-16-0034-46,04-024,CHIMALTENANGO,EL TEJAR,COLEGIO MIXTO EN COMPUTACIÓN MORAZAN,"CALLE REAL BARRIO LA CUESTECITA, ALDEA SAN MIGUEL MORAZAN",52932174,LUIS FERNANDO MÉNDEZ GUDIEL,ANGÉLICA DEL ROSARIO PATZÁN QUISQUE,PRIVADO,RURAL,MONOLINGUE,DOBLE,SEMIPRESENCIAL,CHIMALTENANGO
04-16-0035-46,04-024,CHIMALTENANGO,EL TEJAR,COLEGIO MIXTO EN COMPUTACIÓN MORAZAN,"CALLE REAL,BARRIO LA CUESTECITA, ALDEA SAN MIGUEL MORAZAN",52932174,LUIS FERNANDO MÉNDEZ GUDIEL,ANGELICA DEL ROSARIO PATZAN QUISQUE,PRIVADO,RURAL,MONOLINGUE,SIN JORNADA,SEMIPRESENCIAL,CHIMALTENANGO
04-16-0037-46,04-024,CHIMALTENANGO,EL TEJAR,COLEGIO BILINGÜE J.E.T.,"FINCA ENON, ALDEA SANTO DOMINGO",41609934,LUIS FERNANDO MÉNDEZ GUDIEL,DEIDRA ANN TAYLOR,PRIVADO,RURAL,MONOLINGUE,MATUTINA,REGULAR,CHIMALTENANGO
04-16-0038-46,04-024,CHIMALTENANGO,EL TEJAR,COLEGIO BILINGÜE J.E.T.,"FINCA ENON, ALDEA SANTO DOMINGO",41609934,LUIS FERNANDO MÉNDEZ GUDIEL,DEIDRA ANN TAYLOR,PRIVADO,RURAL,MONOLINGUE,DOBLE,REGULAR,CHIMALTENANGO
04-16-2325-46,04-024,CHIMALTENANGO,EL TEJAR,INSTITUTO MIXTO DE EDUCACIÓN DIVERSIFICADA POR COOPERATIVA,"3A. AVENIDA A 2-00, ZONA 1",78490360,LUIS FERNANDO MÉNDEZ GUDIEL,AURA MARITZA ARRIOLA RONQUILLO,COOPERATIVA,URBANA,MONOLINGUE,NOCTURNA,REGULAR,CHIMALTENANGO
